index:ID,media_id,name,num_of_play,num_of_subscribe,num_of_danmu,starting_time,score,num_of_scoring_peopel,status,:LABEL
10209,102512,后街女孩,4183.9万,200.5万,72万,2018年7月4日,9.4,18010人评,已完结,Anime
10210,102032,音乐少女,172.5万,12.5万,3.1万,2018年7月8日,7.8,537人评,已完结,Anime
10211,1523,元气少女缘结神◎,466.7万,93.3万,20.1万,2015年1月5日,9.6,1197人评,已完结,Anime
10212,2614,群居姐妹,1305.4万,35.1万,8万,2015年7月9日,9.6,620人评,已完结,Anime
10213,1656,无头骑士异闻录,1121.2万,89.2万,77.8万,2010年1月7日,9.6,2507人评,已完结,Anime
10214,6463,少女终末旅行,1990.8万,154.6万,79.2万,2017年10月6日,9.8,43767人评,已完结,Anime
10215,4349,中二病也要谈恋爱！恋,3026.8万,74.8万,160.6万,2014年1月8日,9.3,2946人评,已完结,Anime
10216,5630,约会大作战 万由里裁决,433.2万,25.5万,34.1万,2015年8月22日,9.1,1089人评,已完结,Anime
10217,9192,DARLING in the FRANXX（僅限港澳台地區）,377.5万,50.6万,19.8万,2018年1月14日,8.7,12917人评,已完结,Anime
10218,1625,黑子的篮球 第2期,823.3万,31.9万,80.7万,2013年10月5日,8.9,483人评,已完结,Anime
10219,3425,三年E班 第二季 课外授课篇,337.3万,10.9万,2.6万,2016年3月11日,9.6,411人评,已完结,Anime
10220,5041,Regalia 三圣星,322.4万,25万,11.2万,2016年7月7日,8.4,171人评,已完结,Anime
10221,2587,迷糊餐厅 WORKING!!!,938.4万,19.8万,34.2万,2015年7月4日,9.7,937人评,已完结,Anime
10222,1078,白色相簿,361.7万,42.6万,18.1万,2009年1月3日,9.2,663人评,已完结,Anime
10223,8992,rus～柑橘味香气～,1999.6万,136.2万,112.1万,2018年1月6日,9.6,19336人评,已完结,Anime
10224,809,妖狐×仆SS,641.1万,79.6万,35.8万,2012年1月12日,9.5,1472人评,已完结,Anime
10225,130412,刀剑神域 Alicizatio,831万,255.2万,42.9万,2018年10月7日,9.8,21945人评,连载中,Anime
10226,853,迷茫管家与懦弱的我,1772.6万,64万,58.9万,2011年7月7日,9.5,2220人评,已完结,Anime
10227,5526,超自然9人组,1059.3万,67.4万,24.8万,2016年10月9日,8.9,1659人评,已完结,Anime
10228,5978,博人传 火影忍者新时代,1亿,172.3万,276.4万,2017年4月5日,6.3,33845人评,连载中,Anime
10229,9132,三丽鸥男子,171.1万,15.6万,6.1万,2018年1月6日,8.8,655人评,已完结,Anime
10230,3292,快要坏掉的八音盒,85.4万,17万,2.8万,2009年12月29日,9.5,298人评,已完结,Anime
10231,5031,Taboo Tattoo－禁忌咒纹－,1267.2万,71万,37.2万,2016年7月5日,3.6,684人评,已完结,Anime
10232,1589,罪恶王冠 SP,401.9万,20.4万,1.1万,2011年10月13日,8.8,225人评,已完结,Anime
10233,113852,剧场版 K Seven Storie,208.4万,29.4万,5.2万,2018年7月7日,9.7,1926人评,连载中,Anime
10234,1302,SOLA,87.9万,28.5万,3.7万,2007年4月6日,9.3,750人评,已完结,Anime
10235,3437,我的青春恋爱物语果然有问题。 第一季 OVA,280.8万,21万,7.2万,2013年9月19日,9.7,1364人评,已完结,Anime
10236,782,一起一起这里那里,15.1万,36.6万,4309,2012年4月5日,9.8,1891人评,已完结,Anime
10237,2303,浪客剑心,358.5万,19.2万,20.1万,1996年1月10日,9.6,500人评,已完结,Anime
10238,2719,枪与假面舞会,303.6万,16.2万,15.9万,2015年10月1日,7,102人评,已完结,Anime
10239,6481,妄想学生会 剧场版,376.5万,37.8万,10.2万,2017年7月21日,9.7,10642人评,已完结,Anime
10240,79292,鬼灯的冷彻 第二季 其二,1296.3万,60万,20.9万,2018年4月8日,9.8,4290人评,已完结,Anime
10241,116772,玉子市场,163.3万,24.1万,7.4万,2013年1月9日,9.8,2779人评,已完结,Anime
